model,config,dataset,F1,F1_sd,Precision,Recall,ROC_AUC
LR,A_tfidf,ott,0.891,0.012,0.891,0.893,0.961
SVM,A_tfidf,ott,0.887,0.015,0.885,0.889,
RF,A_tfidf,ott,0.85,0.025,0.847,0.855,0.931
GB,A_tfidf,ott,0.832,0.021,0.833,0.834,0.916
LR,B_linguistic,ott,0.89,0.018,0.888,0.892,0.954
SVM,B_linguistic,ott,0.607,0.26,0.675,0.792,
RF,B_linguistic,ott,0.864,0.023,0.868,0.862,0.941
GB,B_linguistic,ott,0.838,0.023,0.842,0.836,0.917
LR,A_tfidf,salminen,0.847,0.017,0.861,0.834,0.929
SVM,A_tfidf,salminen,0.853,0.013,0.855,0.851,
RF,A_tfidf,salminen,0.826,0.019,0.824,0.828,0.903
GB,A_tfidf,salminen,0.786,0.015,0.812,0.763,0.883
LR,B_linguistic,salminen,0.851,0.023,0.87,0.833,0.932
SVM,B_linguistic,salminen,0.848,0.021,0.839,0.86,
RF,B_linguistic,salminen,0.853,0.018,0.863,0.844,0.934
GB,B_linguistic,salminen,0.849,0.022,0.859,0.84,0.932
